competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,flavour_count,composite_score
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.07,0.12,59.86,1,24.1
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43,0.92,59.24,1,23.9
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.47,0.47,57.12,1,23.1
Junior Mints,1,0,0,0,0,0,0,0,1,0.20,0.51,57.22,1,23.1
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43,0.92,56.49,1,22.8
Nerds,0,1,0,0,0,0,1,0,1,0.85,0.32,55.35,1,22.6
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94,0.22,55.10,1,22.6
Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.13,0.09,55.38,1,22.4
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60,0.76,54.86,1,22.2
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.27,0.28,52.91,1,21.4
Air Heads,0,1,0,0,0,0,0,0,0,0.91,0.51,52.34,1,21.4
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.07,0.12,52.83,1,21.3
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.47,0.47,51.41,1,20.9
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.47,0.32,49.65,1,20.2
Mounds,1,0,0,0,0,0,0,1,0,0.31,0.86,47.83,1,19.3
Gobstopper,0,1,0,0,0,0,1,0,1,0.91,0.45,46.78,1,19.2
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31,0.26,47.17,1,19.1
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87,0.32,46.41,1,19.0
Smarties candy,0,1,0,0,0,0,1,0,1,0.27,0.12,46.00,1,18.7
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17,0.01,45.74,1,18.6
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.12,45.47,1,18.5
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31,0.31,44.38,1,18.0
Runts,0,1,0,0,0,0,1,0,1,0.87,0.28,42.85,1,17.6
Fruit Chews,0,1,0,0,0,0,0,0,1,0.13,0.03,43.09,1,17.5
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31,0.51,43.07,1,17.5
Dots,0,1,0,0,0,0,0,0,1,0.73,0.51,42.27,1,17.3
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.47,0.47,42.18,1,17.2
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.19,0.27,41.90,1,17.0
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.12,41.39,1,16.8
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60,0.84,41.27,1,16.8
Dum Dums,0,1,0,0,0,0,1,0,0,0.73,0.03,39.46,1,16.3
Fun Dip,0,1,0,0,0,0,1,0,0,0.73,0.32,39.19,1,16.1
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32,39.45,1,16.0
Lemonhead,0,1,0,0,0,0,1,0,0,0.05,0.10,39.14,1,15.9
Warheads,0,1,0,0,0,0,1,0,0,0.09,0.12,39.01,1,15.8
Red vines,0,1,0,0,0,0,0,0,1,0.58,0.12,37.35,1,15.3
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.27,0.98,37.89,1,15.3
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73,0.51,36.02,1,14.8
Ring pop,0,1,0,0,0,0,1,0,0,0.73,0.96,35.29,1,14.4
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.57,0.06,34.58,1,14.2
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.08,34.72,1,14.2
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96,0.77,33.44,1,13.8
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.42,0.32,32.23,1,13.2
Jawbusters,0,1,0,0,0,0,1,0,1,0.09,0.51,28.13,1,11.4
Super Bubble,0,1,0,0,0,0,0,0,0,0.16,0.12,27.30,1,11.2
Chiclets,0,1,0,0,0,0,0,0,1,0.05,0.32,24.52,1,10.0
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31,0.51,23.42,1,9.6
Nik L Nip,0,1,0,0,0,0,0,0,1,0.20,0.98,22.45,1,9.1
One quarter,0,0,0,0,0,0,0,0,0,0.01,0.51,46.12,0,18.5
Candy Corn,0,0,0,0,0,0,0,0,1,0.91,0.32,38.01,0,15.7
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.09,0.02,37.72,0,15.3
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.47,0.47,34.16,0,14.0
One dime,0,0,0,0,0,0,0,0,0,0.01,0.12,32.26,0,13.1
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73,0.07,29.70,0,12.4
